fecha,Cuentas Corrientes,Efectivo
2008-07-31,20342.547221740002,19668.95247468
2008-08-31,19770.76716518,19328.32279447
2008-09-30,19250.2500464,19476.04841665
2008-10-31,19804.3699555,20482.16138994
2008-11-30,20735.409061719998,20752.72626418
2008-12-31,24887.32144432,24208.2164636
2009-01-31,21040.08943841,22173.66498791
2009-02-28,21714.86940988,21706.16320579
2009-03-31,21229.40681151,21358.92081004
2009-04-30,20817.55395994,21372.48288245
2009-05-31,20961.60421127,20850.83870361
2009-06-30,22321.94013372,21298.6036222
2009-07-31,21420.75242949,21390.09474151
2009-08-31,22688.2239691,20720.17122473
2009-09-30,21673.68668603,21461.77736656
2009-10-31,22525.54744985,21039.96440477
2009-11-30,24455.05488901,21607.52393524
2009-12-31,26967.356931809998,25788.97330493
2010-01-31,24954.039431049998,23393.96399547
2010-02-28,25049.57413737,22631.80944463
2010-03-31,24420.63690192,23325.02761334
2010-04-30,25301.98232752,22769.52742795
2010-05-31,24812.06522855,22698.22930862
2010-06-30,25526.41420051,24790.12242951
2010-07-31,25422.21938715,23979.39371153
2010-08-31,26846.24214532,23540.85136102
2010-09-30,26290.11912788,24163.59803451
2010-10-31,26915.81928197,24105.2197295
2010-11-30,28542.29822228,24732.66237982
2010-12-31,32321.07859459,29769.49490739
2011-01-31,28820.28235308,27142.76952434
2011-02-28,30139.906351010002,26639.79306475
2011-03-31,29838.74353495,26923.41305123
2011-04-30,29601.50506997,26218.99655179
2011-05-31,29409.468572240003,25856.79091341
2011-06-30,30092.33023723,27827.99936589
2011-07-31,30282.64821517,27027.58815701
2011-08-31,30841.103551430002,27664.4086814
2011-09-30,30699.98843436,27304.41007718
2011-10-31,32047.983659819998,27771.43441576
2011-11-30,33456.1113693,30030.47898782
2011-12-31,35393.54847583,33399.11455086
2012-01-31,31668.03739789,30200.28119179
2012-02-29,31007.469335119997,29893.95854542
2012-03-31,31372.892503850002,28872.95562141
2012-04-30,32563.74223368,28153.80588073
2012-05-31,31445.71684606,28732.88388468
2012-06-30,32652.2049629,29242.77812501
2012-07-31,32914.21520143,28899.32748939
2012-08-31,32473.08267287,28973.70607517
2012-09-30,32485.301147539998,28743.47487197
2012-10-31,32757.672420460003,30077.53169479
2012-11-30,35055.25043017,30402.79864834
2012-12-31,38535.455952339995,34698.52230681
2013-01-31,34709.88518382,32230.39285359
2013-02-28,34899.680618629995,31598.10680074
2013-03-31,36164.86211149,31725.31274353
2013-04-30,37556.32204972,30545.81261008
2013-05-31,36017.787758959996,31233.7226449
2013-06-30,39842.30640823,32256.7531511
2013-07-31,38314.92366723,33597.33514661
2013-08-31,39857.916016899995,32568.07233471
2013-09-30,39603.634772850004,32564.04743338
2013-10-31,39272.6599733,34114.91168052
2013-11-30,42179.69388802,34605.65353907
2013-12-31,44300.08967229,39488.45094198
2014-01-31,42230.30411993,36754.75037708
2014-02-28,43599.72441017,36345.1654015
2014-03-31,44500.84404404,36132.36923609
2014-04-30,43231.69810031,36848.48784574
2014-05-31,42585.58525572,36083.44358079
2014-06-30,44817.12442833,37065.42624876
2014-07-31,43520.57999908,37916.31707211
2014-08-31,44347.35157449,37061.39771909
2014-09-30,44686.83619017,37005.18598291
2014-10-31,44025.21278177,38190.15250135
2014-11-30,46462.3688594,39301.382032
2014-12-31,48277.61295622,45328.40005589
2015-01-31,46380.640851560005,41965.50295712
2015-02-28,45389.931565830004,41367.83141726
2015-03-31,46556.39403035,41516.30794831
2015-04-30,43882.1318772,42020.77427732
2015-05-31,43868.33088469,41663.88673649
2015-06-30,47269.21670521,43159.61554045
2015-07-31,44824.89311918,44579.45212573
2015-08-31,46961.21163819,44537.06070302
2015-09-30,44277.600071630004,46582.43028129
2015-10-31,45094.00504906,46602.38012777
2015-11-30,48513.36919523,48150.12529394
2015-12-31,49285.50559369,54083.81365161
2016-01-31,45368.735999330005,50384.20715396
2016-02-29,47744.02067842,49093.80291498
2016-03-31,46707.24364642,49448.63651396
2016-04-30,45621.99968306,47966.0620035
2016-05-31,43514.44794362,47566.42675867
2016-06-30,42434.11335197,49720.06084262
2016-07-31,43891.94818667,48973.97036235
2016-08-31,43890.42073972,48965.49218388
2016-09-30,41863.34153208,47729.14892316
2016-10-31,44505.22434915,48101.33132651
2016-11-30,43803.72347112,51529.37832509
2016-12-31,46616.2920206299,55426.54085996
2017-01-31,44442.01019518,50627.77806264
2017-02-28,47657.415776919996,48850.97605264
2017-03-31,44697.3650013,48781.53710295
2017-04-30,43616.908455979996,47939.46051877
2017-05-31,42239.86475692,48984.53581574
2017-06-30,43810.12715384,49245.26439454
2017-07-31,44691.71855412,49775.07707706
2017-08-31,43004.437420689996,50623.41103504
2017-09-30,43330.05400815,49976.55808647
2017-10-31,44789.02867408,50056.16475691
2017-11-30,44210.95093438,53854.03023905
2017-12-31,49040.78252157,59497.96004075
2018-01-31,44258.79662401,55369.85052907
2018-02-28,46033.76108774,54708.93125561
2018-03-31,46064.45807758,54050.93727853
2018-04-30,46287.69883116,51921.63642209
2018-05-31,44034.361720069995,52927.27169762
2018-06-30,45282.59833955,53558.56356502
2018-07-31,47547.706287149995,53548.25313547
2018-08-31,46892.86573098,53671.53357419
2018-09-30,46545.2352431,53646.2882685
2018-10-31,45619.80886205,56155.32034881
2018-11-30,49168.13385948,56535.48779861
