fecha,Depósitos en poder del público <sup>1/</sup>,Efectivo
2005-08-31,89206.11928971,13090.04449278
2005-09-30,91856.06696363,12922.24624721
2005-10-31,93666.40726408,13276.22090048
2005-11-30,97446.00523126,14346.61005849
2005-12-31,96993.44390475,16308.87983502
2006-01-31,97553.43321388,14938.27045838
2006-02-28,97966.78729073,14580.12215143
2006-03-31,96659.82140544,14863.01968005
2006-04-30,101307.70348353,15018.57085483
2006-05-31,101225.15384895,15740.08274811
2006-06-30,102776.84341774,16490.62946037
2006-07-31,105263.52007199,16577.34057187
2006-08-31,105980.31502568,16887.61926728
2006-09-30,105545.04856218,16687.58236678
2006-10-31,108168.70382453,16688.99422609
2006-11-30,112621.05859043,17830.62010059
2006-12-31,112492.12517803,20076.52025727
2007-01-31,111911.36582866,18466.43239816
2007-02-28,114672.65261231,18205.05970132
2007-03-31,121140.22939827,17602.21144754
2007-04-30,122432.30702699,17502.31136063
2007-05-31,124214.40414312,17902.86108533
2007-06-30,121353.26344815,18193.45460709
2007-07-31,125317.66562287,17863.48584004
2007-08-31,123021.18208926,17940.09043023
2007-09-30,128595.28638329,17940.20788632
2007-10-31,130850.02126104,19019.97757806
2007-11-30,135811.2807907,19404.73050356
2007-12-31,134263.63954964,22339.98836193
2008-01-31,136004.65775063,20755.78708709
2008-02-29,136147.77965762,19613.4306985
2008-03-31,137598.25184453,19118.77715901
2008-04-30,141268.07021712,19330.75271783
2008-05-31,140624.29679627,18805.0924618
2008-06-30,141180.51904055,19370.33719208
2008-07-31,142803.89890065,19668.95247468
2008-08-31,145865.49157024,19328.32279447
2008-09-30,149528.33991137,19476.04841665
2008-10-31,151361.94123653,20482.16138994
2008-11-30,156856.95991706,20752.72626418
2008-12-31,160243.41093512,24208.2164636
2009-01-31,161725.81217598,22173.66498791
2009-02-28,163726.41527856,21706.16320579
2009-03-31,163754.72581408,21358.92081004
2009-04-30,162597.89398924,21372.48288245
2009-05-31,164974.20266831,20850.83870361
2009-06-30,166304.09908616,21298.6036222
2009-07-31,167658.17200281,21390.09474151
2009-08-31,167647.81363405,20720.17122473
2009-09-30,165891.21217432,21461.77736656
2009-10-31,169209.21738289,21039.96440477
2009-11-30,173713.8807457,21607.52393524
2009-12-31,171692.92945684,25788.97330493
2010-01-31,175046.79796064,23393.96399547
2010-02-28,175784.71681194,22631.80944463
2010-03-31,174369.04678053,23325.02761334
2010-04-30,175276.06408489,22769.52742795
2010-05-31,176005.92429692,22698.22930862
2010-06-30,177603.9100816,24790.12242951
2010-07-31,178672.00362012,23979.39371153
2010-08-31,179617.5044875,23540.85136102
2010-09-30,180146.57107674,24163.59803451
2010-10-31,183379.71252538,24105.2197295
2010-11-30,188810.39657664,24732.66237982
2010-12-31,190294.39029006,29769.49490739
2011-01-31,190890.34435818,27142.76952434
2011-02-28,194107.20212987,26639.79306475
2011-03-31,196288.38700914,26923.41305123
2011-04-30,194266.07328499,26218.99655179
2011-05-31,200242.48168251,25856.79091341
2011-06-30,202789.31793447,27827.99936589
2011-07-31,203566.80681694,27027.58815701
2011-08-31,210337.31480154,27664.4086814
2011-09-30,210181.42733352,27304.41007718
2011-10-31,214557.55344841,27771.43441576
2011-11-30,222288.64912662,30030.47898782
2011-12-31,226515.26671677,33399.11455086
2012-01-31,226519.65518609,30200.28119179
2012-02-29,231307.39044233,29893.95854542
2012-03-31,232841.80250059,28872.95562141
2012-04-30,234127.00279587,28153.80588073
2012-05-31,236191.06650701,28732.88388468
2012-06-30,237861.9807285,29242.77812501
2012-07-31,237726.1440269,28899.32748939
2012-08-31,243622.95993819,28973.70607517
2012-09-30,247366.51728996,28743.47487197
2012-10-31,252311.54773262,30077.53169479
2012-11-30,257585.28744996,30402.79864834
2012-12-31,265769.45908683,34698.52230681
2013-01-31,262461.74794701,32230.39285359
2013-02-28,269106.16032862,31598.10680074
2013-03-31,273572.63351949,31725.31274353
2013-04-30,274135.51529476,30545.81261008
2013-05-31,276596.91797172,31233.7226449
2013-06-30,282975.36869693,32256.7531511
2013-07-31,284469.67439936,33597.33514661
2013-08-31,288197.02805717,32568.07233471
2013-09-30,286935.54736149,32564.04743338
2013-10-31,293463.48817021,34114.91168052
2013-11-30,301218.05818821,34605.65353907
2013-12-31,300708.90837716,39488.45094198
2014-01-31,301870.61015566,36754.75037708
2014-02-28,311048.28973533,36345.1654015
2014-03-31,310698.42124543,36132.36923609
2014-04-30,308929.00678781,36848.48784574
2014-05-31,310156.19838165,36083.44358079
2014-06-30,314121.16886732,37065.42624876
2014-07-31,316320.79886649,37916.31707211
2014-08-31,318389.12498964,37061.39771909
2014-09-30,314982.64206579,37005.18598291
2014-10-31,321599.1240763,38190.15250135
2014-11-30,327020.97389348,39301.382032
2014-12-31,326925.05638798,45328.40005589
2015-01-31,326746.8056748,41965.50295712
2015-02-28,335869.85874441,41367.83141726
2015-03-31,336136.43289973,41516.30794831
2015-04-30,334127.90892892,42020.77427732
2015-05-31,339254.5446164,41663.88673649
2015-06-30,343709.84722953,43159.61554045
2015-07-31,344916.03902845,44579.45212573
2015-08-31,350914.23734487,44537.06070302
2015-09-30,347776.47628811,46582.43028129
2015-10-31,355750.98395732,46602.38012777
2015-11-30,360482.33530643,48150.12529394
2015-12-31,361607.1794923,54083.81365161
2016-01-31,360575.46071592,50384.20715396
2016-02-29,369916.33755343,49093.80291498
2016-03-31,372261.72896908,49448.63651396
2016-04-30,374003.00773177,47966.0620035
2016-05-31,374259.07705808,47566.42675867
2016-06-30,376958.92783389,49720.06084262
2016-07-31,381026.57479898,48973.97036235
2016-08-31,383013.9410434,48965.49218388
2016-09-30,381021.31213231,47729.14892316
2016-10-31,382755.99927219,48101.33132651
2016-11-30,389793.27492414,51529.37832509
2016-12-31,389713.53744925,55426.54085996
2017-01-31,391257.76489066,50627.77806264
2017-02-28,397081.13643055,48850.97605264
2017-03-31,396941.98288474,48781.53710295
2017-04-30,402278.27686666,47939.46051877
2017-05-31,397017.1709297,48984.53581574
2017-06-30,403301.55385982,49245.26439454
2017-07-31,406136.95754847,49775.07707706
2017-08-31,402488.33358439,50623.41103504
2017-09-30,402203.73472089,49976.55808647
2017-10-31,405336.66256816,50056.16475691
2017-11-30,413130.09396219,53854.03023905
2017-12-31,418158.48605064,59497.96004075
2018-01-31,411626.14091794,55369.85052907
2018-02-28,417334.7784634,54708.93125561
2018-03-31,420323.4818587,54050.93727853
2018-04-30,419760.64488141,51921.63642209
2018-05-31,417568.71264828,52927.27169762
2018-06-30,421873.10370509,53558.56356502
2018-07-31,426518.24850392,53548.25313547
2018-08-31,427068.82968086,53671.53357419
2018-09-30,423669.69014813,53646.2882685
2018-10-31,424522.71663637,56155.32034881
2018-11-30,434789.01918079,56535.48779861
2018-12-31,440026.17501995,64377.56213244
2019-01-31,429881.24687755,61062.77013335
2019-02-28,437212.04230963,60422.49208146
2019-03-31,445032.11595586,59049.19303297
2019-04-30,448853.69341362,58722.61812123
2019-05-31,446322.5145275,59861.73681614
2019-06-30,452232.91981182,61443.6185977
2019-07-31,453896.53020322,63309.7222697
2019-08-31,457748.39886555,62593.47012658
2019-09-30,460814.91062908,62877.50965155
2019-10-31,459595.1090709,65873.53181506
2019-11-30,473584.98759966,66552.34291327
2019-12-31,468863.52033944,75051.32125866
2020-01-31,466906.4058072,70053.89333146
2020-02-29,476089.83699269,68579.8653762
2020-03-31,502396.40052241,70997.359604
2020-04-30,511382.14730214,75621.27153227
2020-05-31,511425.72360576,78459.07852382
2020-06-30,515481.06070035,80837.97775616
2020-07-31,514854.42211074,82775.80767897
2020-08-31,514039.36507442,83018.86891533
2020-09-30,511465.43914065,85480.47067347
2020-10-31,515885.53583043,84845.50895359
2020-11-30,518169.66057381,87370.6774979
2020-12-31,524535.64580717,94873.46043289
2021-01-31,518062.27237035,90709.54960229
2021-02-28,524118.69393974,90094.53119959
2021-03-31,529090.71931633,91570.53086087
2021-04-30,532407.54253344,91311.38033053
2021-05-31,532905.40120286,93239.97000784
2021-06-30,539742.49415889,96861.11886367
2021-07-31,545802.36400064,96460.39952864
2021-08-31,547633.94699985,95756.14272066
2021-09-30,542330.98322286,96762.30243627
2021-10-31,554294.38005825,96055.36428908
2021-11-30,567855.54932663,98210.55575863
2021-12-31,585337.4137385,108599.59341746
2022-01-31,579654.41101324,104103.56751619
2022-02-28,582841.98352169,103070.18337309
2022-03-31,592001.75559893,104299.54507423
2022-04-30,600954.1089403,102960.63249841
2022-05-31,600077.08377856,103878.80476675
2022-06-30,615039.0624292,106426.58999633
2022-07-31,621691.33933694,106630.85353328
2022-08-31,625402.57823907,107492.50902807
2022-09-30,625051.76754394,106148.59601543
2022-10-31,631197.97721164,105889.65757999
2022-11-30,638591.19510233,108891.4535107
2022-12-31,654143.95614391,116163.95929513
2023-01-31,653120.2121791,108806.95627979
2023-02-28,670467.31618575,105823.63050499
2023-03-31,662937.15161639,104865.78545193
2023-04-30,661833.96389908,102663.79989318
2023-05-31,659023.40948547,103104.47395186
2023-06-30,670854.57695045,103112.4137215
2023-07-31,672075.86746946,102926.82946859
2023-08-31,685879.41616846,103363.38947415
2023-09-30,681552.25176124,102175.61324592
2023-10-31,693972.24992728,103192.18595086
2023-11-30,697880.06542999,106644.97516049
2023-12-31,705168.8014901,115069.9780382
2024-01-31,699274.06590957,111043.337807365
2024-02-29,707374.92451124,108868.63401882
2024-03-31,704610.13330349,108511.994952986
2024-04-30,712715.05433355,105672.07148689
2024-05-31,711336.53297168,107670.531915488
