fecha,Tasa de ocupación (%),Tasa de desempleo (%),Inflación total,Límite superior,Meta de inflación,Límite inferior
2013-12-01,61.7392,8.6473,1.94,4.0,3.0,2.0
2013-11-01,61.7976,8.6268,1.76,4.0,3.0,2.0
2013-10-01,63.4523,8.13,1.84,4.0,3.0,2.0
2013-09-01,61.2933,9.1692,2.27,4.0,3.0,2.0
2013-08-01,61.4329,9.6613,2.27,4.0,3.0,2.0
2013-07-01,61.0544,10.1626,2.22,4.0,3.0,2.0
2013-06-01,61.0584,9.5105,2.16,4.0,3.0,2.0
2013-05-01,61.7698,9.8204,2.0,4.0,3.0,2.0
2013-04-01,60.44,10.4518,2.02,4.0,3.0,2.0
2013-03-01,59.7776,10.3838,1.91,4.0,3.0,2.0
2013-02-01,59.3826,12.0105,1.83,4.0,3.0,2.0
2013-01-01,59.3918,12.3415,2.0,4.0,3.0,2.0
2012-12-01,61.5007,9.9404,2.44,4.0,3.0,2.0
2012-11-01,61.6143,9.4619,2.77,4.0,3.0,2.0
2012-10-01,62.7321,9.1692,3.06,4.0,3.0,2.0
2012-09-01,60.7377,10.1444,3.08,4.0,3.0,2.0
2012-08-01,61.574,9.9893,3.11,4.0,3.0,2.0
2012-07-01,60.5308,11.1558,3.03,4.0,3.0,2.0
2012-06-01,62.362,10.2437,3.2,4.0,3.0,2.0
2012-05-01,61.5247,10.995,3.44,4.0,3.0,2.0
2012-04-01,61.1934,11.087,3.43,4.0,3.0,2.0
2012-03-01,61.5487,10.5024,3.4,4.0,3.0,2.0
2012-02-01,60.5054,12.075,3.55,4.0,3.0,2.0
2012-01-01,59.6727,12.7911,3.54,4.0,3.0,2.0
2011-12-01,61.6245,10.0677,3.73,4.0,3.0,2.0
2011-11-01,62.9263,9.4935,3.96,4.0,3.0,2.0
2011-10-01,64.008,9.3596,4.02,4.0,3.0,2.0
2011-09-01,61.4521,9.9279,3.73,4.0,3.0,2.0
2011-08-01,59.961,10.4157,3.27,4.0,3.0,2.0
2011-07-01,59.9101,11.704,3.42,4.0,3.0,2.0
2011-06-01,60.0831,11.036,3.23,4.0,3.0,2.0
2011-05-01,60.2354,11.5536,3.02,4.0,3.0,2.0
2011-04-01,59.7957,11.2743,2.84,4.0,3.0,2.0
2011-03-01,59.9716,10.9483,3.19,4.0,3.0,2.0
2011-02-01,58.4015,13.1393,3.17,4.0,3.0,2.0
2011-01-01,58.3759,13.8965,3.4,4.0,3.0,2.0
2010-12-01,60.077,11.2264,3.17,4.0,3.0,2.0
