Fecha,TIB,TIR,exp,cont
2013-07-21,,3.25,4.25,2.25
2013-07-22,3.25906774,3.25,4.25,2.25
2013-07-23,3.27308587,3.25,4.25,2.25
2013-07-24,3.2734908,3.25,4.25,2.25
2013-07-25,3.27086899,3.25,4.25,2.25
2013-07-26,3.26797174,3.25,4.25,2.25
2013-07-27,,3.25,4.25,2.25
2013-07-28,,3.25,4.25,2.25
2013-07-29,3.27117365,3.25,4.25,2.25
2013-07-30,3.26279504,3.25,4.25,2.25
2013-07-31,3.26029879,3.25,4.25,2.25
2013-08-01,3.26002232,3.25,4.25,2.25
2013-08-02,3.24303929,3.25,4.25,2.25
2013-08-03,,3.25,4.25,2.25
2013-08-04,,3.25,4.25,2.25
2013-08-05,3.26742505,3.25,4.25,2.25
2013-08-06,3.2499882,3.25,4.25,2.25
2013-08-07,,3.25,4.25,2.25
2013-08-08,3.2584527,3.25,4.25,2.25
2013-08-09,3.26113001,3.25,4.25,2.25
2013-08-10,,3.25,4.25,2.25
2013-08-11,,3.25,4.25,2.25
2013-08-12,3.26216589,3.25,4.25,2.25
2013-08-13,3.25379662,3.25,4.25,2.25
2013-08-14,3.27065239,3.25,4.25,2.25
2013-08-15,3.27040634,3.25,4.25,2.25
2013-08-16,3.26505178,3.25,4.25,2.25
2013-08-17,,3.25,4.25,2.25
2013-08-18,,3.25,4.25,2.25
2013-08-19,,3.25,4.25,2.25
2013-08-20,3.27484688,3.25,4.25,2.25
2013-08-21,3.27582775,3.25,4.25,2.25
2013-08-22,3.28554359,3.25,4.25,2.25
2013-08-23,3.2813426,3.25,4.25,2.25
2013-08-24,,3.25,4.25,2.25
2013-08-25,,3.25,4.25,2.25
2013-08-26,3.29030691,3.25,4.25,2.25
2013-08-27,3.2824842,3.25,4.25,2.25
2013-08-28,3.27323498,3.25,4.25,2.25
2013-08-29,3.2717598,3.25,4.25,2.25
2013-08-30,3.27110838,3.25,4.25,2.25
2013-08-31,,3.25,4.25,2.25
2013-09-01,,3.25,4.25,2.25
2013-09-02,3.26730964,3.25,4.25,2.25
2013-09-03,3.25869299,3.25,4.25,2.25
2013-09-04,3.2597486,3.25,4.25,2.25
2013-09-05,3.26542351,3.25,4.25,2.25
2013-09-06,3.26584818,3.25,4.25,2.25
2013-09-07,,3.25,4.25,2.25
2013-09-08,,3.25,4.25,2.25
2013-09-09,3.26824152,3.25,4.25,2.25
2013-09-10,3.26838366,3.25,4.25,2.25
2013-09-11,3.27221141,3.25,4.25,2.25
2013-09-12,3.27075554,3.25,4.25,2.25
2013-09-13,3.26840239,3.25,4.25,2.25
2013-09-14,,3.25,4.25,2.25
2013-09-15,,3.25,4.25,2.25
2013-09-16,3.26711025,3.25,4.25,2.25
2013-09-17,3.27377924,3.25,4.25,2.25
2013-09-18,3.28124337,3.25,4.25,2.25
2013-09-19,3.28459839,3.25,4.25,2.25
2013-09-20,3.28749859,3.25,4.25,2.25
2013-09-21,,3.25,4.25,2.25
2013-09-22,,3.25,4.25,2.25
2013-09-23,3.29260385,3.25,4.25,2.25
2013-09-24,3.29662537,3.25,4.25,2.25
2013-09-25,3.30029668,3.25,4.25,2.25
2013-09-26,3.30390587,3.25,4.25,2.25
2013-09-27,3.30377604,3.25,4.25,2.25
2013-09-28,,3.25,4.25,2.25
2013-09-29,,3.25,4.25,2.25
2013-09-30,3.29188511,3.25,4.25,2.25
2013-10-01,3.27314965,3.25,4.25,2.25
2013-10-02,3.27763292,3.25,4.25,2.25
2013-10-03,3.28257257,3.25,4.25,2.25
2013-10-04,3.2958671,3.25,4.25,2.25
2013-10-05,,3.25,4.25,2.25
2013-10-06,,3.25,4.25,2.25
2013-10-07,3.29374297,3.25,4.25,2.25
2013-10-08,3.29105041,3.25,4.25,2.25
2013-10-09,3.29632577,3.25,4.25,2.25
2013-10-10,3.27202957,3.25,4.25,2.25
2013-10-11,3.26992853,3.25,4.25,2.25
2013-10-12,,3.25,4.25,2.25
2013-10-13,,3.25,4.25,2.25
2013-10-14,,3.25,4.25,2.25
2013-10-15,3.26907393,3.25,4.25,2.25
2013-10-16,3.27642451,3.25,4.25,2.25
2013-10-17,3.28203294,3.25,4.25,2.25
2013-10-18,3.27712795,3.25,4.25,2.25
2013-10-19,,3.25,4.25,2.25
2013-10-20,,3.25,4.25,2.25
2013-10-21,3.27260522,3.25,4.25,2.25
2013-10-22,3.27175774,3.25,4.25,2.25
2013-10-23,3.27240641,3.25,4.25,2.25
2013-10-24,3.27596879,3.25,4.25,2.25
2013-10-25,3.27175996,3.25,4.25,2.25
2013-10-26,,3.25,4.25,2.25
2013-10-27,,3.25,4.25,2.25
2013-10-28,3.2898379,3.25,4.25,2.25
2013-10-29,3.25677114,3.25,4.25,2.25
2013-10-30,3.26335472,3.25,4.25,2.25
2013-10-31,3.25788109,3.25,4.25,2.25
2013-11-01,3.2590481,3.25,4.25,2.25
2013-11-02,,3.25,4.25,2.25
2013-11-03,,3.25,4.25,2.25
2013-11-04,,3.25,4.25,2.25
2013-11-05,3.26532508,3.25,4.25,2.25
2013-11-06,3.27578605,3.25,4.25,2.25
2013-11-07,3.27929802,3.25,4.25,2.25
2013-11-08,3.26657207,3.25,4.25,2.25
2013-11-09,,3.25,4.25,2.25
2013-11-10,,3.25,4.25,2.25
2013-11-11,,3.25,4.25,2.25
2013-11-12,3.27510782,3.25,4.25,2.25
2013-11-13,3.28354677,3.25,4.25,2.25
2013-11-14,3.26479179,3.25,4.25,2.25
2013-11-15,3.26748597,3.25,4.25,2.25
2013-11-16,,3.25,4.25,2.25
2013-11-17,,3.25,4.25,2.25
2013-11-18,3.26507838,3.25,4.25,2.25
2013-11-19,3.26109401,3.25,4.25,2.25
2013-11-20,3.26605106,3.25,4.25,2.25
2013-11-21,3.26992638,3.25,4.25,2.25
2013-11-22,3.25690859,3.25,4.25,2.25
2013-11-23,,3.25,4.25,2.25
2013-11-24,,3.25,4.25,2.25
2013-11-25,3.24812694,3.25,4.25,2.25
2013-11-26,3.22778494,3.25,4.25,2.25
2013-11-27,3.24486553,3.25,4.25,2.25
2013-11-28,3.2178025,3.25,4.25,2.25
2013-11-29,3.20594674,3.25,4.25,2.25
2013-11-30,,3.25,4.25,2.25
2013-12-01,,3.25,4.25,2.25
2013-12-02,3.20328232,3.25,4.25,2.25
2013-12-03,3.21563814,3.25,4.25,2.25
