fecha,Efectivo,m1,m2,m3
1991-12-31,1032.513,2795.433,8061.728,8623.047275
1992-01-31,833.448,2571.69,8279.858,8964.148546
1992-02-29,805.134,2567.8680000000004,8467.217,9124.8486
1992-03-31,796.477,2620.953,8774.209,9490.146578
1992-04-30,878.235,2895.251,9174.939,9803.389189000001
1992-05-31,900.995,2895.471,9235.444,10016.270303000001
1992-06-30,949.008,3084.4399999999996,9589.187,10346.758999
1992-07-31,937.279,2995.292,9456.153,10372.077381000001
1992-08-31,920.158,2976.1639999999998,9446.190999999999,10253.326293
1992-09-30,967.863,3008.1400000000003,9703.644,10576.263195
1992-10-31,978.297,3130.052,10129.042,10869.738951000001
1992-11-30,1026.1,3305.301,10315.766,11302.005028
1992-12-31,1406.546,3941.8239999999996,11179.588,12039.135344
1993-01-31,1116.426,3572.328,11094.435,12131.881468
1993-02-28,1083.452,3479.7709999999997,11160.464,12422.559181999999
1993-03-31,1177.884,3512.713,11499.975,12662.853892
1993-04-30,1155.022,3771.406,12023.117999999999,13012.259308
1993-05-31,1135.918,3800.4699999999993,12160.099,13434.664778
1993-06-30,1229.5,4022.728,12847.211,13919.895439
1993-07-31,1214.138,4020.7039999999997,13183.131,14582.617585
1993-08-31,1166.793,4005.3199999999997,13511.742,14808.439389
1993-09-30,1252.632,4108.352000000001,13642.319000000001,15119.00456
1993-10-31,1275.554,4193.613,14194.741000000002,15584.635883
1993-11-30,1272.587,4424.638,14866.854,16465.321771
1993-12-31,1748.459,5124.8369999999995,15817.286,17309.317036
1994-01-31,1420.68,4774.186000000001,16111.708999999999,17937.025754327
1994-02-28,1375.028,4793.457,16426.803,18191.630030820997
1994-03-31,1547.725831,4827.424830999999,16811.670831,18668.835262379
1994-04-30,1546.887,4982.217,17356.851,19303.612485622998
1994-05-31,1470.164,4986.841,18042.092,20118.129501892
1994-06-30,1691.835,5246.121999999999,18278.547,20370.06661641
1994-07-31,1603.209988,5334.303988,18894.362988,21134.944577677998
1994-08-31,1671.556996,5309.453996,19484.297996,21441.50925032
1994-09-30,1631.927995,5342.460995,19895.745995,22167.355558606003
1994-10-31,1726.361945,5458.867945,20387.587945,22545.804858445
1994-11-30,1942.381,5778.335,21257.976,23603.125274606
1994-12-31,2269.982964,6419.026964,22569.050964,24729.338036423
1995-01-31,1832.652999,5858.951999,22583.210999,25120.081416818997
1995-02-28,1787.616,5707.448,23121.464,25350.044548577003
1995-03-31,1881.943,5762.1359999999995,24048.426,26307.829454808998
1995-04-30,1969.417,5936.588,24812.343,26979.901167096003
1995-05-31,2026.263868,5818.058868,25108.816868,27763.761683065997
1995-06-30,2128.722868,6186.153868,25922.203868,28198.87195583
1995-07-31,2058.183998,6238.322998,26212.859998,28714.520925978002
1995-08-31,2115.226915,6003.045915000001,26297.102915000003,28627.740815046
1995-09-30,2047.747,6044.089,27140.551,29841.652921655
1995-10-31,2064.767999,6126.246999000001,27882.799999000003,30460.427356671
1995-11-30,2358.624997,6611.959997,27755.801997000002,31005.925013941
1995-12-31,2873.3,7717.836,28961.289,32034.426132485998
1996-01-31,2406.591,6672.377,28431.308,32197.703907429
1996-02-29,2361.649983,6618.4949830000005,28859.804983,32535.385669946998
1996-03-31,2293.240964,6873.422963999999,28972.139964,33313.796547263
1996-04-30,2215.625,6794.802,29677.240999999998,34001.135348883
1996-05-31,2332.485896,6680.954896,29682.051896,34584.102042136
1996-06-30,2524.515744,7150.295743999999,30190.288743999998,35126.245647414
1996-07-31,2492.523995,6838.069995,30647.058995,36060.062250972005
1996-08-31,2389.296981,6649.1539809999995,30599.053981,36214.783418028
1996-09-30,2316.198965,6967.011965,31013.222965,37078.673886081
1996-10-31,2492.081,6938.919,31531.148999999998,37285.097348365
1996-11-30,2500.51,7204.294,31790.972999999998,38324.302042705
1996-12-31,3240.107997,8992.756997,34815.523997,41447.218196196
1997-01-31,2705.599998,7603.123998000001,34106.835998,41292.074404319
1997-02-28,2655.729987,7570.262987,34164.009987,41157.232724969996
1997-03-31,2828.177951,7898.136951,34711.665951,41776.270369761995
1997-04-30,2900.191982,8139.834982,35528.627982000005,42990.155865333
1997-05-31,2903.657,8156.582,35835.226,43525.562618384
1997-06-30,3156.837,8762.584,37016.093,44776.736385752
1997-07-31,3112.915956,8444.989956000001,37632.275956,45695.417880420995
1997-08-31,2975.413606,8250.300606,37880.331606,45806.189518617
1997-09-30,2911.529,8387.941,38605.216,46872.257181395005
1997-10-31,3189.219998,8597.939998,39547.195998,47820.320446801
1997-11-30,3265.96,9184.106,40928.453,49854.271805459
1997-12-31,4102.306965,10948.009965,43794.557965,52528.179451933
1998-01-31,3423.16,9321.836,42725.077000000005,52068.493395018
1998-02-28,3335.788926,8878.917926,42805.114926,52139.960608742
